original_smiles,rationale_smiles,score
O=C(NC1=NNC2=NN=C(C=C12)C3=CC=CN=C3)C4CC4,Nc1n[nH]c2nnc(-c3cccnc3)cc12,0.58
O=C(NC1=NNC2=NN=C(C=C12)C3=CC=CN=C3)C4CC4,c1cncc(-c2cc3c(NCC4CC4)n[nH]c3nn2)c1,0.58
O=C(NC1=NNC2=NN=C(C=C12)C3=CC=CN=C3)C4CC4,O=CNc1n[nH]c2nnc(-c3cccnc3)cc12,0.57
C1(C(C(=O)NC1=O)=NC=2C=C(Cl)C=CC2)C3=C(Cl)C=CC=C3,O=C1NC(=O)C(c2ccccc2)C1=Nc1ccccc1,0.97
O1C(CCC1)CNC=2N=C(NC3=CC(=CC=C3)C)C(N(=O)=O)=C(N2)N,CCNc1nc(N)c([N+](=O)[O-])c(Nc2ccccc2)n1,0.84
O1C(CCC1)CNC=2N=C(NC3=CC(=CC=C3)C)C(N(=O)=O)=C(N2)N,CNc1nc(N)c([N+](=O)[O-])c(Nc2ccccc2)n1,0.73
O1C(CCC1)CNC=2N=C(NC3=CC(=CC=C3)C)C(N(=O)=O)=C(N2)N,CNc1ncc([N+](=O)[O-])c(Nc2ccccc2)n1,0.53
O1C(CCC1)CNC=2N=C(NC3=CC(=CC=C3)C)C(N(=O)=O)=C(N2)N,CNc1ncc([NH3+])c(Nc2ccccc2)n1,0.51
O1C(CCC1)CNC=2N=C(NC3=CC(=CC=C3)C)C(N(=O)=O)=C(N2)N,CNc1nc(N)c([N+](=O)[O-])c(Nc2cccc(C)c2)n1,0.69
O1C(CCC1)CNC=2N=C(NC3=CC(=CC=C3)C)C(N(=O)=O)=C(N2)N,CCNc1ncc([N+](=O)[O-])c(Nc2ccccc2)n1,0.54
O1C(CCC1)CNC=2N=C(NC3=CC(=CC=C3)C)C(N(=O)=O)=C(N2)N,CCNc1ncc([N+](=O)[O-])c(Nc2cccc(C)c2)n1,0.52
C1(=CC=C2N(C=C(C2=C1)C=3C(NC(C3C4=COC=5C4=CC=C(C5)CO)=O)=O)C)F,Cn1ccc(C2=C(c3ccoc3)C(=O)NC2=O)c1,0.6
C1(=C(C(NC1=O)=O)C2=COC3=C2C=CC=C3)C=4C5=C(N(C4)C)C(=CC=C5)CCOC(C)(C)C,Cn1ccc(C2=C(c3ccoc3)C(=O)NC2=O)c1,0.6
ClC1=CC=2C(C3=C(C4=CC(OC)=CC=C4)C(=O)NC3=O)=CN(C2C=C1)C,Cn1ccc(C2=C(c3ccccc3)C(=O)NC2=O)c1,0.71
ClC1=CC=2C(C3=C(C4=CC(OC)=CC=C4)C(=O)NC3=O)=CN(C2C=C1)C,Cn1ccc(C2=C(c3cccc(O)c3)C(=O)NC2=O)c1,0.73
IC1=CC=2C(C3=C(C=4C5=C(OC4)C=CC(F)=C5)C(=O)NC3=O)=CN(C2C=C1)C,Cn1ccc(C2=C(c3ccoc3)C(=O)NC2=O)c1,0.6
ClC1=C(N2CCOCC2)C=CC(NC=3N=C(NC4CC4)C=5SC=CC5N3)=C1,Nc1ccc(Nc2nccc(NC3CC3)n2)cc1Cl,0.77
ClC1=C(N2CCOCC2)C=CC(NC=3N=C(NC4CC4)C=5SC=CC5N3)=C1,Nc1ccc(Nc2nccc(NC3CC3)n2)cc1,0.75
ClC1=C(N2CCOCC2)C=CC(NC=3N=C(NC4CC4)C=5SC=CC5N3)=C1,c1ccc(Nc2nccc(NC3CC3)n2)cc1,0.74
ClC1=C(N2CCOCC2)C=CC(NC=3N=C(NC4CC4)C=5SC=CC5N3)=C1,CNc1ccnc(Nc2ccc(N)cc2)n1,0.68
ClC1=C(N2CCOCC2)C=CC(NC=3N=C(NC4CC4)C=5SC=CC5N3)=C1,Clc1cccc(Nc2nccc(NC3CC3)n2)c1,0.75
ClC1=C(N2CCOCC2)C=CC(NC=3N=C(NC4CC4)C=5SC=CC5N3)=C1,CNc1ccnc(Nc2cccc(Cl)c2)n1,0.77
ClC1=C(N2CCOCC2)C=CC(NC=3N=C(NC4CC4)C=5SC=CC5N3)=C1,CNc1ccnc(Nc2ccc(N)c(Cl)c2)n1,0.75
ClC1=C(N2CCOCC2)C=CC(NC=3N=C(NC4CC4)C=5SC=CC5N3)=C1,Nc1ccnc(Nc2ccc(N)c(Cl)c2)n1,0.65
ClC1=C(N2CCOCC2)C=CC(NC=3N=C(NC4CC4)C=5SC=CC5N3)=C1,Nc1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,0.57
N1C(N=C(C1=O)CC2=CC=C(C=C2)N(CC)CC)=O,CCN(C)c1ccc(CC2=NC(=O)NC2=O)cc1,0.56
N1C(N=C(C1=O)CC2=CC=C(C=C2)N(CC)CC)=O,CN(C)c1ccc(CC2=NC(=O)NC2=O)cc1,0.6066666666666667
N1C(N=C(C1=O)CC2=CC=C(C=C2)N(CC)CC)=O,CCNc1ccc(CC2=NC(=O)NC2=O)cc1,0.51
C1(C(C(=O)NC1=O)=NC2=CC(O)=CC=C2)C3=C(N(=O)=O)C=CC=C3,O=C1NC(=O)C(c2ccccc2)C1=Nc1ccccc1,0.97
C=1(C=C2C(=CC1)N(C3=C(C(=NN3C)C)C2=O)OCCC)Cl,CCOn1c2ccc(Cl)cc2c(=O)c2c(C)nn(C)c21,0.67
C=1(C=C2C(=CC1)N(C3=C(C(=NN3C)C)C2=O)OCCC)Cl,COn1c2ccc(Cl)cc2c(=O)c2c(C)nn(C)c21,0.64
C=1(C=C2C(=CC1)N(C3=C(C(=NN3C)C)C2=O)OCCC)Cl,Cc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,0.72
C1(=CC(CSC=2OC(=NN2)C=3C=CC4=C(C3)CCO4)=CC=C1OC)Cl,c1ccc(CSc2nnc(-c3ccccc3)o2)cc1,0.76
C1(=CC(CSC=2OC(=NN2)C=3C=CC4=C(C3)CCO4)=CC=C1OC)Cl,Clc1cccc(CSc2nnc(-c3ccccc3)o2)c1,0.66
C1(=CC(CSC=2OC(=NN2)C=3C=CC4=C(C3)CCO4)=CC=C1OC)Cl,Oc1ccc(CSc2nnc(-c3ccccc3)o2)cc1,0.51
NCCCN1C=C(C2=C1C=CC=C2)C=3C(=O)NC(=O)C3C=4C5=CC=CC=C5NC4,Cn1ccc(C2=C(c3cc[nH]c3)C(=O)NC2=O)c1,0.68
NCCCN1C=C(C2=C1C=CC=C2)C=3C(=O)NC(=O)C3C=4C5=CC=CC=C5NC4,CCn1ccc(C2=C(c3cc[nH]c3)C(=O)NC2=O)c1,0.63
NCCCN1C=C(C2=C1C=CC=C2)C=3C(=O)NC(=O)C3C=4C5=CC=CC=C5NC4,CCCn1ccc(C2=C(c3cc[nH]c3)C(=O)NC2=O)c1,0.62
O=C(N1CCOCC1)C2=CC(C=3C=C4C(=NC3)NC=C4)=CC=C2,NC(=O)c1cccc(-c2cnc3[nH]ccc3c2)c1,0.73
O=C(N1CCOCC1)C2=CC(C=3C=C4C(=NC3)NC=C4)=CC=C2,O=Cc1cccc(-c2cnc3[nH]ccc3c2)c1,0.64
O=C(N1CCOCC1)C2=CC(C=3C=C4C(=NC3)NC=C4)=CC=C2,Cc1cccc(-c2cnc3[nH]ccc3c2)c1,0.57
O=C(N1CCOCC1)C2=CC(C=3C=C4C(=NC3)NC=C4)=CC=C2,NCc1cccc(-c2cnc3[nH]ccc3c2)c1,0.62
C=1(C=2C=3C=CC(=CC3N(C)C2)F)C(=O)NC(=O)C1C4=CC=CC(=C4)OC,Cn1ccc(C2=C(c3ccccc3)C(=O)NC2=O)c1,0.71
C=1(C=2C=3C=CC(=CC3N(C)C2)F)C(=O)NC(=O)C1C4=CC=CC(=C4)OC,Cn1ccc(C2=C(c3cccc(O)c3)C(=O)NC2=O)c1,0.73
C=1(C=C2C(=CC1OC)C(=CC3=C(NC(=C23)O)O)C=C)OC,C=Cc1cc2c(O)[nH]c(O)c2c2cc(OC)c(O)cc12,0.51
C=1(C=C2C(=CC1OC)C(=CC3=C(NC(=C23)O)O)C=C)OC,C=Cc1cc2c(O)[nH]c(O)c2c2cc(O)c(OC)cc12,0.51
ClC1=CC(NC2=NC(C=3C=C(OC(CC)C)N=CC3)=CC=N2)=CC=C1,Oc1cc(-c2ccnc(Nc3ccccc3)n2)ccn1,0.81
ClC1=CC(NC2=NC(C=3C=C(OC(CC)C)N=CC3)=CC=N2)=CC=C1,c1ccc(Nc2nccc(-c3ccncc3)n2)cc1,0.76
ClC1=CC(NC2=NC(C=3C=C(OC(CC)C)N=CC3)=CC=N2)=CC=C1,Clc1cccc(Nc2nccc(-c3ccncc3)n2)c1,0.78
ClC=1C(NC=2C=C3C(NN=C3)=CC2)=NC(NC4=CC=C(N5CCN(CC5)CC)C=C4)=NC1,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,0.74
N1(C=2N=CN=C(N)C2C(=C1)C#C)C3CCCC3,Cc1cn(C2CCCC2)c2ncnc(N)c12,0.73
ClC=1SC(C2C3C(=NC=4NN=C(C24)C)CC(CC3=O)(C)C)=CC1,Cc1n[nH]c2c1C(c1cccs1)C1CCC(C)CC1=N2,0.57
ClC=1SC(C2C3C(=NC=4NN=C(C24)C)CC(CC3=O)(C)C)=CC1,Cc1n[nH]c2c1C(c1cccs1)C1CCCCC1=N2,0.58
ClC=1SC(C2C3C(=NC=4NN=C(C24)C)CC(CC3=O)(C)C)=CC1,Cc1n[nH]c2c1C(c1cccs1)C1C(=O)CCCC1=N2,0.72
ClC=1SC(C2C3C(=NC=4NN=C(C24)C)CC(CC3=O)(C)C)=CC1,Cc1n[nH]c2c1C(c1ccc(Cl)s1)C1CCCCC1=N2,0.59
S(C=1OC(=NN1)C=2C=CN=CC2)CC3=CC=C(C=C3)C#N,Cc1ccc(CSc2nnc(-c3ccncc3)o2)cc1,0.68
S(C=1OC(=NN1)C=2C=CN=CC2)CC3=CC=C(C=C3)C#N,c1ccc(CSc2nnc(-c3ccncc3)o2)cc1,0.9
C12=C(C3=CC(N(=O)=O)=CC=C3N1)CC(S)=NC4=C2C=CC=C4,[NH3+]c1ccc2[nH]c3c(c2c1)CC(S)=Nc1ccccc1-3,0.63
C12=C(C3=CC(N(=O)=O)=CC=C3N1)CC(S)=NC4=C2C=CC=C4,SC1=Nc2ccccc2-c2[nH]c3ccccc3c2C1,0.52
C1=NC=C(C)C2=C1C=CC=C2S(N3C(CNCCC3)C)(=O)=O,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,0.68
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,NC(=O)c1cc2c(-c3ccc(Br)c(F)c3)cncc2s1,0.85
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,NC(=O)c1cc2c(-c3ccc(Br)cc3)cncc2s1,0.96
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,NC(=O)c1cc2c(-c3ccccc3)cncc2s1,0.93
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,NCc1cc2c(-c3ccccc3)cncc2s1,0.5
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,NC(=O)c1cc2c(-c3ccc(Br)cc3F)cncc2s1,0.79
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,NC(=O)c1cc2c(-c3ccccc3F)cncc2s1,0.75
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,NC(=O)c1cc2c(-c3cccc(F)c3F)cncc2s1,0.68
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,NC(=O)c1cc2c(-c3cccc(F)c3)cncc2s1,0.87
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,O=Cc1cc2c(-c3cccc(F)c3)cncc2s1,0.52
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,Cc1cc2c(-c3cccc(F)c3)cncc2s1,0.52
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,NCc1cc2c(-c3cccc(F)c3)cncc2s1,0.5
BrC1=C(F)C(F)=C(C=2C3=C(SC(=C3)C(=O)N)C=NC2)C=C1,O=Cc1cc2c(-c3ccc(Br)cc3)cncc2s1,0.5
C1(=NC(/C(/S1)=C/C2=CC=C(O2)C3=CC(=C(C=C3)S(=O)(=O)N)Cl)=O)N,NC1=NC(=O)/C(=C/c2ccc(-c3ccc(S)cc3)o2)S1,0.75
C1(=NC(/C(/S1)=C/C2=CC=C(O2)C3=CC(=C(C=C3)S(=O)(=O)N)Cl)=O)N,NC1=NC(=O)/C(=C/c2ccc(-c3ccccc3)o2)S1,0.52
C1(=NC(/C(/S1)=C/C2=CC=C(O2)C3=CC(=C(C=C3)S(=O)(=O)N)Cl)=O)N,NC1=NC(=O)/C(=C/c2ccc(-c3cccc(Cl)c3)o2)S1,0.5
C=1(NC=C2C(N1)=C(NC(CCC)=O)N=N2)C3=CC=CC=C3,CCC(=O)Nc1nnc2c[nH]c(-c3ccccc3)nc1-2,0.54
C1(=C(N2C3=C(C=CC=C3)CC2)C(=O)NC1=O)C4=C(Cl)C=CC=C4,O=C1NC(=O)C(N2C=CCC2)=C1c1ccccc1,0.69
C1(=C(N2C3=C(C=CC=C3)CC2)C(=O)NC1=O)C4=C(Cl)C=CC=C4,O=C1NC(=O)C(N2C=CCC2)=C1c1ccccc1Cl,0.68
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,C#Cc1nc(C)cc2c1nc(-c1nonc1N)n2CC,0.8
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CCn1c(-c2nonc2N)nc2c(C)nc(C)cc21,0.77
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CCn1c(-c2nonc2N)nc2cnc(C)cc21,0.7
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CCn1c(-c2nonc2N)nc2cnccc21,0.86
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,Cn1c(-c2nonc2N)nc2cnccc21,0.91
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CCn1c(-c2nonc2N)nc2c(C)nc(CN)cc21,0.78
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CCn1c(-c2nonc2N)nc2cnc(CN)cc21,0.75
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,Cn1c(-c2nonc2N)nc2cnc(CN)cc21,0.62
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,Cc1cc2c(cn1)nc(-c1nonc1N)n2C,0.59
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CC#Cc1nccc2c1nc(-c1nonc1N)n2CC,0.68
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,C#Cc1nccc2c1nc(-c1nonc1N)n2CC,0.64
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CCn1c(-c2nonc2N)nc2c(C)nccc21,0.61
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CCn1c(-c2nonc2N)nc2cnc(CNC)cc21,0.67
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CNCc1cc2c(cn1)nc(-c1nonc1N)n2C,0.55
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CCC#Cc1nccc2c1nc(-c1nonc1N)n2C,0.55
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CC#Cc1nccc2c1nc(-c1nonc1N)n2C,0.61
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,C#Cc1nccc2c1nc(-c1nonc1N)n2C,0.58
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,Cc1nccc2c1nc(-c1nonc1N)n2C,0.55
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CC#Cc1nc(C)cc2c1nc(-c1nonc1N)n2C,0.65
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,C#Cc1nc(C)cc2c1nc(-c1nonc1N)n2C,0.65
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,Cc1cc2c(nc(-c3nonc3N)n2C)c(C)n1,0.63
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,C#Cc1nc(CN)cc2c1nc(-c1nonc1N)n2C,0.64
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,Cc1nc(CN)cc2c1nc(-c1nonc1N)n2C,0.6
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,Cn1c(-c2nonc2N)nc2c(C#CCO)nccc21,0.52
C=1(C2=NC3=C(C#CC(O)(C)C)N=C(C=C3N2CC)CNC)C(N)=NON1,CNCc1cc2c(nc(-c3nonc3N)n2C)c(C)n1,0.58
C1(=CN=C2C(=C1)C(NC(C(C)C)=O)=NN2)C3=CC=CC=C3,CCC(=O)Nc1n[nH]c2ncc(-c3ccccc3)cc12,0.95
C1(=CN=C2C(=C1)C(NC(C(C)C)=O)=NN2)C3=CC=CC=C3,CC(=O)Nc1n[nH]c2ncc(-c3ccccc3)cc12,0.96
C1(=CN=C2C(=C1)C(NC(C(C)C)=O)=NN2)C3=CC=CC=C3,CCNc1n[nH]c2ncc(-c3ccccc3)cc12,0.79
C1(=CN=C2C(=C1)C(NC(C(C)C)=O)=NN2)C3=CC=CC=C3,CNc1n[nH]c2ncc(-c3ccccc3)cc12,0.8
C1(=CN=C2C(=C1)C(NC(C(C)C)=O)=NN2)C3=CC=CC=C3,Nc1n[nH]c2ncc(-c3ccccc3)cc12,0.88
C1(=CN=C2C(=C1)C(NC(C(C)C)=O)=NN2)C3=CC=CC=C3,CCCNc1n[nH]c2ncc(-c3ccccc3)cc12,0.78
C1(=CN=C2C(=C1)C(NC(C(C)C)=O)=NN2)C3=CC=CC=C3,CC(C)CNc1n[nH]c2ncc(-c3ccccc3)cc12,0.81
C1(=CN=C2C(=C1)C(NC(C(C)C)=O)=NN2)C3=CC=CC=C3,O=CNc1n[nH]c2ncc(-c3ccccc3)cc12,0.78
NS(=O)(=O)C1=CC=CC(=C1)C=2C=CC3=C(NC(=O)C4CC4)NN=C3C2,CC(=O)Nc1[nH]nc2cc(-c3ccccc3)ccc12,0.65
NS(=O)(=O)C1=CC=CC(=C1)C=2C=CC3=C(NC(=O)C4CC4)NN=C3C2,O=CNc1[nH]nc2cc(-c3ccccc3)ccc12,0.5
NS(=O)(=O)C1=CC=CC(=C1)C=2C=CC3=C(NC(=O)C4CC4)NN=C3C2,CNc1[nH]nc2cc(-c3ccccc3)ccc12,0.5
NS(=O)(=O)C1=CC=CC(=C1)C=2C=CC3=C(NC(=O)C4CC4)NN=C3C2,Nc1[nH]nc2cc(-c3ccccc3)ccc12,0.57
NS(=O)(=O)C1=CC=CC(=C1)C=2C=CC3=C(NC(=O)C4CC4)NN=C3C2,CC(=O)Nc1[nH]nc2cc(-c3cccc(S)c3)ccc12,0.65
